TRL_ID,TRL_NM,TRL_CD,CTPRV_CD,SGNG_CD,EMNDN_CD,LGDNG_LI_CD,MLTNO_YN,LTNO_ORN,LTNO_VCN,PNTM_XCRD,PNTM_YCRD,TRMNA_XCRD,TRMNA_YCRD,Pet_AP,km,minute
S020,20코스-북한산 강북 코스,1,11,305,103,0,2,164,11,127.0093091,37.63314844,127.0126786,37.66343333,0,7.1,150
S021,21코스-북한산 도봉 코스,1,11,305,104,0,1,265,17,127.0126858,37.66343427,127.0412553,37.68729774,0,7.3,150
S022,고덕산 자락길,1,11,740,102,0,1,287,0,127.1574233,37.56248789,127.1587173,37.55636659,1,1,30
S023,배봉산 자락길,1,11,230,109,0,2,6,35,127.0684365,37.58874292,127.0653729,37.58527257,1,1.5,40
S024,서달산 자락길,1,11,590,107,0,2,31,37,126.962448,37.49376033,126.961768,37.4971825,1,1.5,40
S025,안산 자락길,1,11,410,117,0,1,167,17,126.9370859,37.57941512,126.9553395,37.56827125,1,7,150
S026,관악산 자락길(무장애숲길),1,11,620,102,0,2,32,5,126.9467638,37.46771764,126.9441114,37.44909504,1,1.3,30
S027,매봉산 자락길,1,11,440,125,0,2,53,27,126.8972041,37.5703538,126.8959769,37.57190432,1,1.2,30
S028,인왕산 자락길,1,11,110,115,0,1,1,30,126.9676413,37.57483172,126.967285,37.59215756,1,2.5,60
S029,신정산 자락길,1,11,470,101,0,1,1261,0,126.8538181,37.51464348,126.846129,37.51366309,1,2.7,50
S030,북한산 자락길,1,11,290,133,0,1,239,23,127.0063231,37.61890138,127.0065791,37.62023221,0,4.5,120
S031,인왕산구간,1,11,110,177,0,1,112,0,126.9687597,37.5681299,126.9674179,37.59217275,1,4,150
S032,흥인지문구간,1,11,140,162,0,1,217,118,127.0100225,37.56969955,127.0082181,37.55827326,1,2.1,60
S033,낙산구간,1,11,290,111,0,1,1,3,127.0057937,37.58817746,127.0100002,37.56987463,1,2.1,60
S034,남산구간,1,11,140,144,0,1,200,90,127.0079901,37.55799531,126.9771817,37.55591025,1,4.2,120
S035,백악구간,1,11,110,101,0,2,1,1,126.9674577,37.59230673,127.003765,37.58810891,0,4.7,120
S036,숭례문구간,1,11,140,112,0,1,205,4,126.9771115,37.55612846,126.9690619,37.5679638,1,1.8,40
S037,하천형(구로 올레길),1,11,470,102,0,1,122,1,126.880835,37.54659796,126.87276,37.50982717,1,10.5,180
S038,산림형(구로 올레길),1,11,470,101,0,1,151,20,126.8707913,37.51077071,126.8306781,37.52179424,1,10.5,240
S039,도심형(구로 올레길),1,11,470,103,0,1,937,0,126.8311366,37.52270564,126.8800099,37.54563124,1,7,150
S040,산림형-용왕산구간,1,11,470,102,0,1,122,1,126.880835,37.54659796,126.8759875,37.54286612,1,2.5,45
S041,중랑천제방,1,11,320,108,0,1,2,6,127.0497584,37.69096686,127.0550264,37.64607373,1,5,90
S042,"해등로3,4길",1,11,320,107,0,1,703,8,127.0393937,37.64661805,127.0472492,37.64940741,1,1.5,30
S043,우이천로,1,11,320,107,0,1,514,2,127.0417059,37.63140577,127.0147697,37.65168799,1,3,60
S044,한글역사문화길,1,11,320,106,0,1,307,7,127.0285848,37.66406112,127.0224062,37.66082503,1,2.5,60
S045,무수골 조선시대 왕족묘길,1,11,320,108,0,1,637,3,127.039274,37.68697113,127.0281115,37.67695588,1,2,40
S046,초안산 조선시대 내시묘길,1,11,320,107,0,1,418,0,127.0441836,37.64442475,127.0506936,37.6341467,1,2,40
S047,창동역사문화길,1,11,320,105,0,1,81,78,127.0349269,37.65293631,127.0387894,37.65457997,1,2,40
S048,도봉서원 암각글씨길,1,11,320,108,0,1,408,1,127.0357283,37.68642881,127.0290768,37.68811009,0,1.5,30
S049,평화문화진지길,1,11,320,108,0,1,4,1,127.0465967,37.69046136,127.0399627,37.67445115,1,1.5,30
S050,중랑천따라걷는도봉이야기길,1,11,320,108,0,1,4,29,127.0490941,37.68815466,127.0480032,37.66911991,1,3,60
S051,도봉옛길,1,11,320,108,0,1,8,0,127.0467357,37.69077759,127.0319729,37.64259301,0,3.1,90
